_id,name,lat,long,category,geometry,distance,category_simplify,city
6135fecc0c5109129a29adb2,Avis Car Rental,37.787639,-122.412783,Rental Car Location,"{'type': 'Point', 'coordinates': [-122.412783, 37.787639]}",1.78844427009185,Transportation,San Francisco
6135fecc0c5109129a29ad89,Monarch,37.78100244847315,-122.40855542889987,Nightclub,"{'type': 'Point', 'coordinates': [-122.40855542889987, 37.78100244847315]}",1.8107293240769955,Going Out,San Francisco
6135fecc0c5109129a29ad6a,Mission Bay Montessori,37.775508880615234,-122.39421844482422,Preschool,"{'type': 'Point', 'coordinates': [-122.39421844482422, 37.775508880615234]}",1.8129496665237217,Preschool,San Francisco
6135fecc0c5109129a29ad72,Bright Horizons at 1700 Montgomery Street,37.80525588989258,-122.4047622680664,Preschool,"{'type': 'Point', 'coordinates': [-122.4047622680664, 37.80525588989258]}",1.8133938831348184,Preschool,San Francisco
6135fecc0c5109129a29ad9a,1015 Folsom,37.77820409904968,-122.40577364319502,Nightclub,"{'type': 'Point', 'coordinates': [-122.40577364319502, 37.77820409904968]}",1.875816241267828,Going Out,San Francisco
6135fecc0c5109129a29ad9f,OMG!,37.78062535400536,-122.40916797655773,Nightclub,"{'type': 'Point', 'coordinates': [-122.40916797655773, 37.78062535400536]}",1.8788377115312265,Going Out,San Francisco
6135fecc0c5109129a29adea,Core Kitchen (@ the Hall),37.78181,-122.411212,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-122.411212, 37.78181]}",1.9388591964887243,Vegan Restaurant,San Francisco
6135fecc0c5109129a29adcc,Chisme,37.78846715609786,-122.41480239709736,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-122.41480239709736, 37.78846715609786]}",1.9407918826839663,Vegan Restaurant,San Francisco
6135fecc0c5109129a29ad95,Power Exchange,37.783300712350176,-122.41248305633135,Nightclub,"{'type': 'Point', 'coordinates': [-122.41248305633135, 37.783300712350176]}",1.945851830224436,Going Out,San Francisco
6135fecc0c5109129a29ad6b,Apple Tree Preschool,37.776954519912685,-122.4051492586848,Preschool,"{'type': 'Point', 'coordinates': [-122.4051492586848, 37.776954519912685]}",1.9592859097639264,Preschool,San Francisco
6135fecc0c5109129a29adca,The Flying Falafel,37.781323,-122.411138,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-122.411138, 37.781323]}",1.965114821660615,Vegan Restaurant,San Francisco
