_id,name,category_code,offices,address1,address2,city,latitude,longitude,country_code
613517e27c85e5f861db8b05,Crocus Technology,cleantech,"{'description': 'Headquarters', 'address1': '710 Lakeway Drive, Suite 100', 'address2': '', 'zip_code': '94085', 'city': 'Sunnyvale', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.386774, 'longitude': -121.987661}","710 Lakeway Drive, Suite 100",,Sunnyvale,37.386774,-121.987661,USA
613517e17c85e5f861db806a,Selatra,games_video,"{'description': 'Irish Office', 'address1': '4500 Airport Business Park', 'address2': 'Kinsale Road', 'zip_code': '', 'city': 'Cork', 'state_code': None, 'country_code': 'IRL', 'latitude': 51.8717115, 'longitude': -8.5010032}",4500 Airport Business Park,Kinsale Road,Cork,51.8717115,-8.5010032,IRL
613517e27c85e5f861db88f2,Bigpoint,games_video,"{'description': 'Bigpoint Headquarters', 'address1': 'Drehbahn 47-48', 'address2': '', 'zip_code': '20354', 'city': 'Hamburg', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.5973055, 'longitude': 9.9762519}",Drehbahn 47-48,,Hamburg,53.5973055,9.9762519,DEU
613517e27c85e5f861db87cc,Prosensa,biotech,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'Leiden', 'state_code': '', 'country_code': 'NLD', 'latitude': 52.158494, 'longitude': 4.496199}",,,Leiden,52.158494,4.496199,NLD
613517e27c85e5f861db82eb,Owlient,games_video,"{'description': 'Main Office', 'address1': '26-28 rue de ChambÃ©ry', 'address2': '', 'zip_code': '75015', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8308091, 'longitude': 2.3032201}",26-28 rue de ChambÃ©ry,,Paris,48.8308091,2.3032201,FRA
613517e27c85e5f861db8434,Symphogen,biotech,"{'description': 'Symphogen A/S', 'address1': 'Elektrovej Building 375', 'address2': '', 'zip_code': 'DK-2800', 'city': 'Lyngby', 'state_code': None, 'country_code': 'DNK', 'latitude': 55.783256, 'longitude': 12.515066}",Elektrovej Building 375,,Lyngby,55.783256,12.515066,DNK
613517e27c85e5f861db849a,Novaled,cleantech,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'Dresden', 'state_code': '', 'country_code': 'DEU', 'latitude': 51.0504088, 'longitude': 13.7372621}",,,Dresden,51.0504088,13.7372621,DEU
613517e17c85e5f861db6b43,sevenload,games_video,"{'description': None, 'address1': 'Vogelsanger Str. 78', 'address2': '', 'zip_code': '50823', 'city': 'Cologne', 'state_code': None, 'country_code': 'DEU', 'latitude': 50.945289, 'longitude': 6.921546}",Vogelsanger Str. 78,,Cologne,50.945289,6.921546,DEU
613517e17c85e5f861db6909,eRepublik,games_video,"{'description': 'Office', 'address1': 'Almagro 22', 'address2': '', 'zip_code': '28010', 'city': 'Madrid', 'state_code': None, 'country_code': 'ESP', 'latitude': 40.43094, 'longitude': -3.6952896}",Almagro 22,,Madrid,40.43094,-3.6952896,ESP
613517e27c85e5f861db8782,P21,cleantech,"{'description': '', 'address1': 'Eugen-SÃ¤nger-Ring 1', 'address2': 'D-85649 Brunnthal', 'zip_code': '', 'city': 'Munich', 'state_code': None, 'country_code': 'DEU', 'latitude': 48.0418471, 'longitude': 11.6644864}",Eugen-SÃ¤nger-Ring 1,D-85649 Brunnthal,Munich,48.0418471,11.6644864,DEU
