_id,name,lat,long,category,geometry,distance
6135fed00c5109129a29ae73,Park Slope Car Service,40.6773241,-73.98518779999999,Taxi,"{'type': 'Point', 'coordinates': [-73.98518779999999, 40.6773241]}",2.171705649479073
6135fed00c5109129a29ae3b,Blueprint,40.67683673413956,-73.98022457561854,Cocktail Bar,"{'type': 'Point', 'coordinates': [-73.98022457561854, 40.67683673413956]}",2.187601719151706
6135fed00c5109129a29ae1a,Kiddie Academy of Williamsburg,40.7090049,-73.9581834,Preschool,"{'type': 'Point', 'coordinates': [-73.9581834, 40.7090049]}",2.3298607354169105
6135fed00c5109129a29ae04,C'E Montessori,40.71289825439453,-73.9628677368164,Preschool,"{'type': 'Point', 'coordinates': [-73.9628677368164, 40.71289825439453]}",2.344652912329409
6135fed00c5109129a29ae05,Kiddie Academy,40.709039,-73.957795,Preschool,"{'type': 'Point', 'coordinates': [-73.957795, 40.709039]}",2.3584615432009914
6135fed00c5109129a29ae06,Who's on First,40.680699,-73.99922600000001,Preschool,"{'type': 'Point', 'coordinates': [-73.99922600000001, 40.680699]}",2.370345025683965
6135fed00c5109129a29ae7a,King And Queen Limo INC,40.70551,-74.00633,Transportation Service,"{'type': 'Point', 'coordinates': [-74.00633, 40.70551]}",2.406378955074572
6135fed00c5109129a29ae70,SkyHome,40.71799420771988,-73.98499037854945,Airport Lounge,"{'type': 'Point', 'coordinates': [-73.98499037854945, 40.71799420771988]}",2.4204726887229624
6135fed00c5109129a29ae67,"NYC Lucky Limo, Inc.",40.70585566774556,-74.00643825531006,Rental Car Location,"{'type': 'Point', 'coordinates': [-74.00643825531006, 40.70585566774556]}",2.430857572645691
6135fed00c5109129a29ae64,Pratt Car Service,40.688185494217336,-73.9535445137851,Taxi,"{'type': 'Point', 'coordinates': [-73.9535445137851, 40.688185494217336]}",2.443757621496877
6135fed00c5109129a29ae07,Park Slope Montessori,40.674583435058594,-73.97642517089844,Preschool,"{'type': 'Point', 'coordinates': [-73.97642517089844, 40.674583435058594]}",2.4607074980591395
6135fed00c5109129a29aea3,Buddha Bodai 佛菩提素菜,40.71379837914967,-73.99867652064822,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.99867652064822, 40.71379837914967]}",2.4651174955441437
6135fed00c5109129a29ae50,Sugarhill Supper Club,40.6916789781193,-73.95176036844492,Nightclub,"{'type': 'Point', 'coordinates': [-73.95176036844492, 40.6916789781193]}",2.471120192113205
6135fed00c5109129a29ae08,Park Slope KinderCare,40.6745067,-73.9761374,Preschool,"{'type': 'Point', 'coordinates': [-73.9761374, 40.6745067]}",2.4725476448086305
6135fed00c5109129a29ae09,BKid Brooklyn,40.6790811,-73.9620458,Preschool,"{'type': 'Point', 'coordinates': [-73.9620458, 40.6790811]}",2.4785013208897673
6135fed00c5109129a29aea6,Bar Velo Brooklyn,40.70709660165953,-73.9543318189448,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.9543318189448, 40.70709660165953]}",2.4907166306476682
6135fed00c5109129a29ae0a,Huggs Day School,40.67426681518555,-73.97672271728516,Preschool,"{'type': 'Point', 'coordinates': [-73.97672271728516, 40.67426681518555]}",2.4923756067134297
6135fed00c5109129a29ae80,Zip Aviation,40.70159467918013,-74.0091774518027,Airport,"{'type': 'Point', 'coordinates': [-74.0091774518027, 40.70159467918013]}",2.493469215787024
6135fed00c5109129a29ae5d,New York Helicopter,40.70166130741539,-74.0092788904697,General Travel,"{'type': 'Point', 'coordinates': [-74.0092788904697, 40.70166130741539]}",2.5034822411967514
6135fed00c5109129a29aeba,Erin McKenna's Bakery,40.718001452016765,-73.98975509385077,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.98975509385077, 40.718001452016765]}",2.5172748667340406
6135fed00c5109129a29ae94,Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.99035763050085, 40.71784735323789]}",2.5175399387016757
6135fed00c5109129a29ae68,100 Gold Street,40.710384113506215,-74.00415730375785,Government Building,"{'type': 'Point', 'coordinates': [-74.00415730375785, 40.710384113506215]}",2.5299753714816355
6135fed00c5109129a29ae0b,Love A Lot Preschool,40.71879196166992,-73.98645782470703,Preschool,"{'type': 'Point', 'coordinates': [-73.98645782470703, 40.71879196166992]}",2.5302227479664703
6135fed00c5109129a29ae03,Elements Preschool Kindergarten New York,40.71879196166992,-73.98645782470703,Preschool,"{'type': 'Point', 'coordinates': [-73.98645782470703, 40.71879196166992]}",2.5302227479664703
6135fed00c5109129a29ae9e,Dirt Candy,40.717889859794,-73.99101507421003,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.99101507421003, 40.717889859794]}",2.5410306345097458
6135fed00c5109129a29ae9a,sweetgreen,40.7056257,-74.0082823,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-74.0082823, 40.7056257]}",2.562026422151631
